subject,imtype,region,category,sequence,signal_change
R3290,global,IPS0,face,same,0.3923
R3290,global,IPS0,face,diff,0.2532
R3290,global,IPS0,house,same,0.2279
R3290,global,IPS0,house,diff,0.2581
R3290,global,IPS1,face,same,0.09824
R3290,global,IPS1,face,diff,0.03691
R3290,global,IPS1,house,same,-0.02402
R3290,global,IPS1,house,diff,-0.01341
R3290,global,IPS2,face,same,0.01437
R3290,global,IPS2,face,diff,0.3309
R3290,global,IPS2,house,same,0.02901
R3290,global,IPS2,house,diff,0.01656
R3290,global,IPS3,face,same,-0.163
R3290,global,IPS3,face,diff,0.4214
R3290,global,IPS3,house,same,-0.06927
R3290,global,IPS3,house,diff,-0.1433
R3290,global,IPS4,face,same,-0.2919
R3290,global,IPS4,face,diff,0.3102
R3290,global,IPS4,house,same,-0.2431
R3290,global,IPS4,house,diff,-0.3002
R3290,global,IPS5,face,same,-0.2253
R3290,global,IPS5,face,diff,0.5852
R3290,global,IPS5,house,same,-0.2435
R3290,global,IPS5,house,diff,-0.2103
R3290,global,LO1,face,same,0.8418
R3290,global,LO1,face,diff,0.9051
R3290,global,LO1,house,same,0.9329
R3290,global,LO1,house,diff,0.8751
R3290,global,LO2,face,same,0.3165
R3290,global,LO2,face,diff,0.3357
R3290,global,LO2,house,same,0.3328
R3290,global,LO2,house,diff,0.269
R3290,global,MST,face,same,0.04877
R3290,global,MST,face,diff,0.1905
R3290,global,MST,house,same,0.1533
R3290,global,MST,house,diff,0.07776
R3290,global,PHC1,face,same,0.2416
R3290,global,PHC1,face,diff,0.2015
R3290,global,PHC1,house,same,0.2743
R3290,global,PHC1,house,diff,0.2028
R3290,global,PHC2,face,same,0.08834
R3290,global,PHC2,face,diff,-0.01949
R3290,global,PHC2,house,same,0.06579
R3290,global,PHC2,house,diff,-0.01743
R3290,global,SPL1,face,same,-0.2105
R3290,global,SPL1,face,diff,0.4452
R3290,global,SPL1,house,same,-0.1172
R3290,global,SPL1,house,diff,-0.006043
R3290,global,V1,face,same,1.05
R3290,global,V1,face,diff,1.003
R3290,global,V1,house,same,1.073
R3290,global,V1,house,diff,1.102
R3290,global,V1-V3,face,same,1.276
R3290,global,V1-V3,face,diff,1.28
R3290,global,V1-V3,house,same,1.251
R3290,global,V1-V3,house,diff,1.28
R3290,global,V1-V4,face,same,1.276
R3290,global,V1-V4,face,diff,1.279
R3290,global,V1-V4,house,same,1.249
R3290,global,V1-V4,house,diff,1.28
R3290,global,V1d,face,same,1.003
R3290,global,V1d,face,diff,0.9748
R3290,global,V1d,house,same,1.082
R3290,global,V1d,house,diff,0.9548
R3290,global,V1v,face,same,1.1
R3290,global,V1v,face,diff,1.034
R3290,global,V1v,house,same,1.092
R3290,global,V1v,house,diff,1.226
R3290,global,V2,face,same,1.056
R3290,global,V2,face,diff,1.115
R3290,global,V2,house,same,0.9989
R3290,global,V2,house,diff,1.053
R3290,global,V2d,face,same,1.22
R3290,global,V2d,face,diff,1.32
R3290,global,V2d,house,same,1.238
R3290,global,V2d,house,diff,1.095
R3290,global,V2v,face,same,0.8984
R3290,global,V2v,face,diff,0.9204
R3290,global,V2v,house,same,0.7708
R3290,global,V2v,house,diff,1.013
R3290,global,V3,face,same,1.302
R3290,global,V3,face,diff,1.369
R3290,global,V3,house,same,1.272
R3290,global,V3,house,diff,1.274
R3290,global,V3a,face,same,1.181
R3290,global,V3a,face,diff,1.203
R3290,global,V3a,house,same,1.119
R3290,global,V3a,house,diff,1.082
R3290,global,V3b,face,same,0.8477
R3290,global,V3b,face,diff,0.9153
R3290,global,V3b,house,same,0.9418
R3290,global,V3b,house,diff,0.8817
R3290,global,V3d,face,same,1.657
R3290,global,V3d,face,diff,1.722
R3290,global,V3d,house,same,1.646
R3290,global,V3d,house,diff,1.587
R3290,global,V3v,face,same,0.9046
R3290,global,V3v,face,diff,0.9717
R3290,global,V3v,house,same,0.851
R3290,global,V3v,house,diff,0.9225
R3290,global,VO1,face,same,0.935
R3290,global,VO1,face,diff,0.9348
R3290,global,VO1,house,same,0.9867
R3290,global,VO1,house,diff,1.017
R3290,global,VO2,face,same,0.5625
R3290,global,VO2,face,diff,0.5515
R3290,global,VO2,house,same,0.5944
R3290,global,VO2,house,diff,0.5769
R3290,global,all_regions,face,same,1.006
R3290,global,all_regions,face,diff,1.016
R3290,global,all_regions,house,same,0.9845
R3290,global,all_regions,house,diff,0.9894
R3290,global,ffa_24_bilat,face,same,0.1807
R3290,global,ffa_24_bilat,face,diff,0.1802
R3290,global,ffa_24_bilat,house,same,-0.02556
R3290,global,ffa_24_bilat,house,diff,0.08783
R3290,global,ffa_24_left,face,same,0.2011
R3290,global,ffa_24_left,face,diff,0.1912
R3290,global,ffa_24_left,house,same,-0.01587
R3290,global,ffa_24_left,house,diff,0.1381
R3290,global,ffa_24_right,face,same,0.1588
R3290,global,ffa_24_right,face,diff,0.1683
R3290,global,ffa_24_right,house,same,-0.03596
R3290,global,ffa_24_right,house,diff,0.03377
R3290,global,ffa_31_bilat,face,same,0.2055
R3290,global,ffa_31_bilat,face,diff,0.1874
R3290,global,ffa_31_bilat,house,same,-0.006428
R3290,global,ffa_31_bilat,house,diff,0.08463
R3290,global,ffa_31_left,face,same,0.2702
R3290,global,ffa_31_left,face,diff,0.2133
R3290,global,ffa_31_left,house,same,0.02862
R3290,global,ffa_31_left,house,diff,0.1635
R3290,global,ffa_31_right,face,same,0.1427
R3290,global,ffa_31_right,face,diff,0.1624
R3290,global,ffa_31_right,house,same,-0.04048
R3290,global,ffa_31_right,house,diff,0.007946
R3290,global,ffa_38_bilat,face,same,0.09078
R3290,global,ffa_38_bilat,face,diff,0.1596
R3290,global,ffa_38_bilat,house,same,-0.08016
R3290,global,ffa_38_bilat,house,diff,-0.0415
R3290,global,ffa_38_left,face,same,0.1132
R3290,global,ffa_38_left,face,diff,0.03825
R3290,global,ffa_38_left,house,same,-0.07616
R3290,global,ffa_38_left,house,diff,-0.1165
R3290,global,ffa_38_right,face,same,0.09049
R3290,global,ffa_38_right,face,diff,0.1611
R3290,global,ffa_38_right,house,same,-0.08021
R3290,global,ffa_38_right,house,diff,-0.04054
R3290,global,ffa_left_100,face,same,0.5116
R3290,global,ffa_left_100,face,diff,0.3574
R3290,global,ffa_left_100,house,same,0.3051
R3290,global,ffa_left_100,house,diff,0.6699
R3290,global,ffa_left_150,face,same,0.5034
R3290,global,ffa_left_150,face,diff,0.3554
R3290,global,ffa_left_150,house,same,0.2905
R3290,global,ffa_left_150,house,diff,0.6467
R3290,global,ffa_left_23,face,same,0.5034
R3290,global,ffa_left_23,face,diff,0.3554
